neuropil,global_clustering_mean,global_clustering_q025,global_clustering_q975,density_mean,density_q025,density_q975,reciprocity_mean,reciprocity_q025,reciprocity_q975,average_strength_mean,average_strength_q025,average_strength_q975
IB_R,0.10597696431177361,0.10471368960920552,0.10723608456213382,0.0061563812647007984,0.0061563812647008,0.0061563812647008,0.04933958261003737,0.047033246813364835,0.051705738423132176,,,
ICL_L,0.14198557123951333,0.1408587066710811,0.143008670802431,0.004892927750245,0.004892927750245,0.004892927750245,0.07925442617940484,0.0770632081341279,0.0814298988145916,,,
ICL_R,0.1508296605433163,0.149700966011783,0.151860416327879,0.0049807547964264,0.0049807547964264,0.0049807547964264,0.08472692512870772,0.08290241437136749,0.08673914375196218,,,
IPS_L,0.11638618697903863,0.11551805447480593,0.11721401096945475,0.006335397555186099,0.0063353975551861,0.0063353975551861,0.06046834569150417,0.05866231363931,0.06228478601128832,,,
IPS_R,0.11959871271572851,0.118771554436888,0.12056996874378609,0.006043815855151299,0.0060438158551513,0.0060438158551513,0.060226183196942104,0.05832167656445002,0.061786040356152656,,,
LAL_L,0.18951185164093648,0.18812641927332174,0.19075712089802607,0.0094297715796936,0.0094297715796936,0.0094297715796936,0.10086415250053418,0.09855814930256197,0.10328409266750664,,,
LAL_R,0.19868514401094511,0.19728905013113068,0.20025034947777506,0.011199359013841502,0.0111993590138415,0.0111993590138415,0.09870021309266394,0.09611438845539155,0.10123478189339097,,,
LA_L,0.05589153910003128,0.05433103647782428,0.057452828721614974,0.0005110859705131001,0.0005110859705131,0.0005110859705131,0.026324185913310035,0.024408702683580086,0.028442285338858772,,,
LA_R,0.07042532240569767,0.06910522903202362,0.07195138177887604,0.0005469063306416999,0.0005469063306417,0.0005469063306417,0.03200575061529697,0.030204495079976773,0.03357933449098583,,,
LH_L,0.17929544471552822,0.17827564717243918,0.18023191826635115,0.008835052934480198,0.0088350529344802,0.0088350529344802,0.09831640857030507,0.09665148206711338,0.10024860075797501,,,
LH_R,0.1997271524488474,0.19896908191654777,0.20058201647150042,0.010734687937267602,0.0107346879372676,0.0107346879372676,0.11049206444492668,0.10883150856356526,0.11219263288649177,,,
